1;AGUINALDO;13
2;ALIM. PECES;3
3;ALIM. PONEDORA;5
4;ANZUELO;7
5;APEROS;7
6;AUTOMOTRIZ;15
7;AVICOLA;9
8;AVICOLA;11
9;BEBEDERO COPA;7
10;BENEFICIAR ANIMAL;10
11;BOLSAS;11
12;BOMB. DE GAS;7
13;CABALLO;6
14;CALETEO;17
15;CARRETILLA;9
16;CERD. BEBE;6
17;CERD. DESARROLLO;1
18;CERD. ENGORDE;1
19;CERD. MTTO;1
20;CHICURA;9
21;CICATRIZANTE;12
22;COMIDA;13
23;CONSTRUCCION;10
24;CONSTRUCCION;11
25;CREDITO;16
26;CUCHILLA DESMALEZADORA;7
27;DEDOS;11
28;DESINFECTANTE;11
29;DESMALEZADORA;9
30;DESPARASITANTE;12
31;ELECTRICIDAD;11
32;EXAMEN;12
33;FLETE;17
34;GANAD. ENGORDE;2
35;GANADO;6
36;GARRAPATICIDA;12
37;GUARDIA NACIONAL;16
38;HERRERIA;9
39;HERRERIA;11
40;HERVISIDA;12
41;HIDRATANTES;12
42;HIERRO;12
43;INSUMO;12
44;INTI;16
45;JAULA GALL. 7X3;7
46;LIQUIDACION;13
47;LUBRICANTES;11
48;LUBRICANTES;15
49;MALLA;7
50;MANO DE OBRA;11
51;MATAGUSANO;12
52;MELAZA;2
53;NYLON DESMALEZADORA;7
54;OTROS;12
55;OTROS;16
56;PAGO CREDITO;8
57;PASTO;2
58;PLOMERIA;7
59;PLOMERIA;11
60;POLLO BEBE;6
61;POLLO ENGORDE;4
62;POLLO INICIADOR;4
63;POLLO PRE INICIADOR;4
64;POND. BEBE;6
65;PONEDO. INICIADOR;5
66;PRESTAR;14
67;QUINCENA;13
68;REFRIGERACION;7
69;REP. Y/O SERVICIO;10
70;SAL;2
71;SEGUETA;9
72;SEGURO;16
73;SEPARADORES;7
74;TALONARIO;7
75;TENAZA;9
76;TRANSITO;16
77;UTILIDADES;13
78;VACUNA;12
79;VARIOS;7
80;VARIOS;11
81;VENENO MATA RATON;7
82;VENENO MOSCA;7
83;VITAMINA;12
84;YEGUA;6
